text,label
好的，收到，非常感謝您的協助！,0
這件事我來處理就好，謝謝您。,0
祝您有個愉快的一天！,0
辛苦了！這次的專案表現得非常好！,0
能請你幫我一下嗎,0
麻煩幫我倒一下垃圾,0
這件事交給我來處理就好，您先忙別的，謝謝！,0
祝您有個美好且充實的一天！,0
請問這個部分有什麼需要我幫忙或補充的嗎？,0
沒關係，慢慢來，不用著急，品質最重要。,0
辛苦了！這次的專案成果大家都覺得非常驚豔！,0
收到通知，我會盡快在今天下班前彙整給您。,0
謝謝您的寶貴反饋，我們會持續優化流程！,0
您的建議非常有建設性，給了我們很多啟發，感謝！,0
不好意思打擾您了，請問這份文件方便借我過目一下嗎？,0
這份企劃寫得很有條理與創意，大家都很喜歡。,0
感謝您特地撥空與我們開會討論，收穫良多！,0
如果後續有任何問題，隨時歡迎與我聯繫喔！,0
沒問題，我完全理解您的考量，我們會全力配合調整。,0
今天真是辛苦大家了，回去請好好休息放鬆一下！,0
謝謝你的貼心提醒，差點就漏掉這個關鍵細節了。,0
這段時間多虧有你幫忙分擔，專案才能這麼順利推進！,0
提案簡報做得很清晰易懂，向你學習！,0
收到款項與發票了，確認無誤，感謝您的迅速處理。,0
期待未來能有機會再次與貴團隊攜手合作！,0
請不用客氣，能幫上大家的忙是我的榮幸。,0
今天天氣變冷了，出門記得多加件外套保暖喔！,0
非常感謝您耐心等候我們的回覆，祝您順心！,0
這道菜看起來真好吃，謝謝你特地幫大家準備！,0
你的進步真的非常明顯，繼續保持這股衝勁！,0
抱歉讓您久等了，這是您需要的最新報表檔案。,0
大家一起集思廣益，事情一定能順利解決的！,0
感謝您的包容與體諒，我們會立即修正這個疏失。,0
恭喜你順利通過考核，這是你應得的榮譽！,0
這份資料整理得非常詳盡，幫我們省下了好多時間。,0
週末愉快！好好享受假期，下週再一起加油！,0
如果會議時間上有任何不便，我們隨時可以配合您的空檔改期。,0
謝謝你的熱心分享，這篇技術文章真的很有幫助！,0
我們非常重視您的體驗，若有任何不滿意之處請隨時告知。,0
很開心今天能和你聊聊，給了我很多新的想法。,0
這件事情你處理得相當得體，值得肯定！,0
感謝您即時提供這麼詳細的補充說明，非常清楚。,0
祝您的新專案推動順利，期待看到亮眼的成果！,0
不好意思耽誤您幾分鐘時間，想向您請教一個小問題。,0
你的設計美感真的很棒，色彩搭配得非常和諧！,0
大家都辛苦了，今天的工作進度超前完成，太棒了！,0
謝謝你特地幫我留了一份會議紀錄，非常貼心！,0
如果需要我協助測試系統，隨時跟我說一聲就可以囉。,0
這篇文章的觀點切入得很精準，寫得很棒！,0
感謝主管的指導與提點，我會把這些建議落實到工作中。,0
不用擔心，這個問題我們一起想辦法克服！,0
很榮幸能加入這個優秀的團隊與大家共事。,0
謝謝您的理解，造成您的困擾再次向您致歉。,0
這杯咖啡很好喝，謝謝你的請客！,0
確認收到您的回信，我們會依照約定時程準時交付。,0
隨便你啊，你高興就好。,1
喔是喔，那你想怎樣？,1
算了，當我沒說。,1
哈囉？這不是上週就講過了嗎？,1
我不想講了，隨便。,1
所以呢？這跟我們現在討論的主題有任何關係嗎？,1
我不想再講了，隨便你怎麼弄。,1
隨便你怎麼想，反正我無所謂。,1
到底要我講幾遍你才聽得懂？,1
有事嗎？這點小事也要特地跑來問我？,1
晚點再說，我現在沒空理你這些事。,1
這不用看也知道是錯的吧，還需要我確認？,1
算了我自己弄比較快，指望你真的心累。,1
隨便，你決定就好，不要事後再來問我。,1
喔，那又怎樣？,1
你到底有完沒完？一直傳訊息很煩。,1
所以重點到底是什麼？可以講快一點嗎？,1
隨便啦，我都沒意見，反正說了你也沒在聽。,1
不用跟我解釋這些藉口，我不想聽。,1
已讀，就這樣。,1
好啦好啦知道了，催什麼催？,1
這很難嗎？為什麼每次都要拖到最後一刻？,1
隨便你便當要訂哪家，能吃就好不要煩我。,1
喔，那祝你好運。,1
我現在不想談這個話題，可以閉嘴嗎？,1
講完了沒？講完我要去做正事了。,1
行行行，你說的都對，可以了吧？,1
隨便你怎麼安排，反正我只負責交差。,1
這種常識問題自己去 Google，不要什麼都問人。,1
喔，那是你的問題，跟我沒關係。,1
算了啦，反正每次講到最後都這樣。,1
隨便你買哪一台，反正出錢的又不是我。,1
你到底想表達什麼？邏輯完全兜不起來。,1
好啦知道你在忙，不用一直強調。,1
是喔，聽起來真棒欸。,1
隨便，你想去就去，不想去就算了。,1
所以現在是要我幫你收爛攤子嗎？,1
沒空，不要找我。,1
好啦隨便，反正案子過不過隨便你。,1
這件事講八百遍了，不想再重複。,1
隨便，你愛怎麼搞就怎麼搞。,1
喔，那還真是不好意思喔。,1
所以勒？現在是我的錯囉？,1
不要一直問一些顯而易見的問題好不好？,1
隨便你幾點到，不要遲到太誇張就好。,1
我現在很忙，沒時間聽你長篇大論。,1
好喔，隨便你開心囉。,1
這有什麼好討論的？浪費大家時間。,1
隨便，反正我也只是個打工的。,1
講完了嗎？我耳朵都要長繭了。,1
好啦好啦，隨便你怎麼說都行。,1
你到底懂不懂啊？這很基本好嗎？,2
這做得很爛，可以重新做嗎？,2
你是不是在找碴啊？,2
這做得很爛，全部給我打掉重新做！,2
你是不是存心在找碴啊？,2
講這什麼沒意義的廢話？純粹浪費大家時間。,2
這很難理解嗎？腦子是個好東西，希望你出門有帶。,2
少在那邊自以為是，不想做就直接滾蛋啊！,2
這邏輯完全不通，你到底有沒有在用大腦思考？,2
你真的有帶腦袋來上班嗎？表現成這樣真可悲。,2
少在那邊裝可憐博同情，看了就令人作嘔。,2
閉嘴啦！這裡什麼時候輪得到你說話了？,2
這種水準也能當主管？說出去真的笑死人！,2
你眼睛是瞎了嗎？這麼大的字都看不到？,2
把事情搞成這樣，你到底有什麼用？簡直是個廢物！,2
不要臉天下無敵，說的就是你這種人！,2
你講話一定要這麼白目又討人厭嗎？,2
做不出來就不要在那邊打腫臉充胖子，丟人現眼！,2
你是在發什麼神經？吃飽太閒沒事幹是不是？,2
連這種小事都辦不好，你乾脆回家吃自己算了！,2
少在那邊推卸責任，這爛攤子明明就是你搞出來的！,2
我看你根本就是故意扯大家後腿的毒瘤！,2
憑你也配來對我的工作指手畫腳？先照照鏡子吧！,2
聽你在那邊胡說八道，真想賞你兩巴掌！,2
你是不是腦袋進水啊？怎麼會做出這種白癡決策？,2
閉上你的臭嘴，沒人想聽你在那邊該該叫！,2
這是我看過最垃圾的企劃案，沒有之一！,2
你是在大聲什麼啦？有種我們現在去外面輸贏啊！,2
少在那邊裝懂，實際上根本半點墨水都沒有！,2
你這副德行活該被所有人排擠，真是可憐又可恨！,2
講話顛三倒四，連話都說不清楚還想出來騙吃騙喝？,2
再讓我抓到你偷懶一次，我就讓你吃不完兜著走！,2
你這張嘴除了到處造謠生事，還會幹什麼？,2
少在那邊假惺惺，看了就讓人想吐！,2
你耳朵長在腳底下是不是？聽不懂人話嗎？,2
